Voltage,Current,Temperature,SOC
3.6798,3.1567,27.5014,92.8308
3.6733,3.7853,29.0611,92.4342
3.6766,3.3018,27.8952,92.6142
3.6863,2.9472,26.9134,93.2819
3.6814,3.6241,28.6875,93.0099
3.6806,3.5919,28.7454,92.9474
3.6774,2.9472,26.8982,92.6262
3.6676,3.3501,28.0272,91.9575
3.6741,3.8014,28.9693,92.4946
3.6741,3.0923,27.2651,92.4021
3.6725,3.0439,27.1916,92.2781
3.6782,3.7208,28.9364,92.7869
3.6774,3.4307,28.1754,92.6898
3.6806,2.9311,26.8006,92.8595
3.6741,3.5435,28.4476,92.4614
3.6782,3.6402,28.8367,92.7768
3.6806,2.9956,27.0203,92.8682
3.679,3.2212,27.6823,92.7804
3.6757,3.5919,28.7454,92.5864
3.6741,3.2212,27.6823,92.4194
3.6741,3.1245,27.3631,92.4064
3.675,3.5435,28.6626,92.5287
3.6831,3.463,28.2163,93.1138
3.6822,2.9956,27.1426,92.9867
3.675,3.3663,28.241,92.5056
3.6765,3.608,28.6294,92.6468
3.6774,3.1728,27.4612,92.6557
3.6887,3.189,27.6577,93.491
3.6741,3.5435,28.6212,92.4622
3.6757,3.3179,27.8793,92.5497
3.6725,3.0923,27.3631,92.2846
3.6733,3.4307,28.464,92.389
3.6741,3.463,28.3733,92.4514
3.6774,3.0278,27.2161,92.6372
3.6782,3.2695,28.0927,92.7291
3.6806,3.5919,28.5963,92.9467
3.6741,3.1567,27.5349,92.411
3.6774,3.1084,27.4857,92.6481
3.6741,3.5274,28.6957,92.4606
3.6782,3.3501,28.068,92.7386
3.679,3.0439,27.3631,92.7577
3.6709,3.3824,28.3237,92.2058
3.6717,3.4791,28.5384,92.2773
3.6831,3.0439,27.2805,93.0594
3.6774,3.2051,27.8054,92.6611
3.6733,3.5597,28.8367,92.4062
3.6831,3.2534,27.772,93.0867
3.6806,3.0439,27.314,92.8753
3.6717,3.463,28.5633,92.2755
3.6806,3.3824,28.299,92.9203
3.6766,3.06,27.4523,92.5832
3.6733,3.334,28.2163,92.3764
3.6806,3.5113,28.646,92.9373
3.6863,3.0761,27.5014,93.3
3.6725,3.1245,27.6086,92.2896
3.6766,3.5435,28.8865,92.6476
3.6798,3.3179,28.068,92.8526
3.6855,3.0278,27.2406,93.2341
3.6757,3.3985,28.4723,92.562
3.6806,3.4468,28.3485,92.9282
3.6766,3.0278,27.3541,92.5789
3.6814,3.2534,28.068,92.9628
3.6733,3.5274,28.7621,92.402
3.6766,3.1406,27.6243,92.5936
3.6717,3.0278,27.3966,92.2181
3.6814,3.4952,28.6875,92.9945
3.6757,3.3663,28.2001,92.557
3.6741,2.9956,27.2896,92.3906
3.6725,3.334,28.2495,92.3176
3.6733,3.4791,28.6626,92.3957
3.679,3.06,27.4367,92.76
3.6798,3.189,27.9199,92.8365
3.6838,3.5274,28.7454,93.1754
3.6741,3.189,27.7561,92.4159
3.6741,3.0278,27.3876,92.3949
3.6709,3.4468,28.6212,92.2149
3.675,3.4146,28.4144,92.5121
3.6822,2.9956,27.3631,92.9877
3.6806,3.2534,28.0519,92.9038
3.6806,3.5113,28.7205,92.9376
3.6806,3.0923,27.5349,92.8821
3.6709,3.1084,27.7069,92.1702
3.6741,3.4952,28.7454,92.457
3.6693,3.2534,28.0272,92.0712
3.6701,2.9633,27.305,92.0921
3.6725,3.3824,28.4971,92.3245
3.6741,3.4146,28.4971,92.4462
3.6725,2.9794,27.3386,92.271
3.6717,3.1728,27.9939,92.2382
3.6806,3.5113,28.7454,92.9378
3.6822,3.1245,27.7561,93.0049
3.6693,3.06,27.584,92.046
3.6757,3.4791,28.6709,92.5726
3.6709,3.3018,28.2743,92.196
3.6863,3.0278,27.4523,93.294
3.6774,3.3501,28.4228,92.6813
3.6774,3.608,29.2438,92.7158
3.6782,2.8183,26.7425,92.669
3.6766,3.1245,27.6489,92.5918
3.6838,3.6886,29.494,93.1981
3.7512,2.8505,25.5046,98.0451
3.7732,3.3018,26.5857,99.7248
3.7544,3.4791,26.9438,98.3626
3.7447,2.8989,25.643,97.5727
3.7456,3.0278,25.9582,97.6559
3.7528,3.5113,26.9438,98.2486
3.7431,3.1728,26.268,97.4904
3.7479,2.8344,25.4816,97.8
3.7512,3.4468,26.8971,98.1228
3.7447,3.3501,26.7803,97.6318
3.7479,2.8344,25.5277,97.8002
3.7512,3.1728,26.3377,98.0875
3.7528,3.4468,27.1546,98.2418
3.7544,2.9633,25.8972,98.2962
3.7544,2.9633,25.7353,98.2954
3.7447,3.4468,27.0375,97.6446
3.7528,3.2534,26.5704,98.2161
3.7528,2.8344,25.5277,98.1612
3.7414,3.2857,26.6869,97.3806
3.7447,3.4146,26.9673,97.6404
3.7512,2.8666,25.6199,98.0476
3.7544,3.06,26.0824,98.3086
3.7447,3.4791,27.0609,97.6486
3.7472,3.0923,26.2133,97.7826
3.7414,2.8505,25.6199,97.3237
3.7456,3.4791,27.0532,97.7148
3.7479,3.2857,26.7102,97.8596
3.7447,2.8505,25.5046,97.5663
3.7463,3.2373,26.5005,97.735
3.7512,3.463,27.0843,98.1256
3.7447,2.8666,25.7584,97.5694
3.7553,2.9472,25.9582,98.3608
3.7544,3.4791,27.1546,98.3636
3.7528,3.1567,26.4074,98.2037
3.7512,2.8183,25.643,98.0419
3.7447,3.3824,26.8971,97.6362
3.7537,3.3501,26.9829,98.2958
3.7528,2.8021,25.5969,98.1576
3.7422,3.1084,26.2298,97.4163
3.7496,3.4791,27.1077,98.0097
3.7528,2.9794,26.0361,98.1808
3.7447,2.8989,25.7122,97.573
3.7447,3.4468,27.0843,97.6448
3.7512,3.2051,26.5471,98.0923
3.7414,2.786,25.5277,97.3156
3.7528,3.3018,26.7803,98.2228
3.7521,3.3824,27.0532,98.1821
3.7447,2.8344,25.643,97.565
3.7431,3.0439,26.2448,97.4749
3.7528,3.463,27.1077,98.2436
3.7496,3.0439,26.1983,97.9536
3.7618,2.8021,25.7037,98.8212
3.7674,3.3501,27.0375,99.3053
3.756,3.3018,26.8971,98.4591
3.7512,2.8183,25.7353,98.0423
3.7577,3.1245,26.4539,98.5611
3.7642,3.4307,27.225,99.0801
3.756,2.8827,25.8046,98.404
3.7544,2.8989,25.9203,98.2886
3.7593,3.4791,27.178,98.7247
3.7512,3.0761,26.4307,98.0763
3.7544,2.8344,25.8278,98.2804
3.7528,3.3179,26.9906,98.2257
3.7512,3.3501,26.8737,98.1111
3.7577,2.8183,25.6661,98.5209
3.7634,3.1084,26.4925,98.9793
3.7706,3.4146,27.225,99.5496
3.7674,2.9794,26.152,99.257
3.7609,2.8989,25.9203,98.7674
3.7642,3.4468,27.178,99.0818
3.7706,3.2534,26.8036,99.5284
3.7658,2.8021,25.7584,99.1161
3.7674,3.2212,26.7569,99.2886
3.7771,3.3824,27.1546,100
3.7706,2.8344,25.874,99.4741
3.7706,2.9472,26.1288,99.4887
3.7584,3.4468,27.2325,98.6547
3.7609,3.0761,26.4074,98.7908
3.7642,2.8183,25.7353,99.0001
3.7602,3.3663,27.1235,98.7772
3.7625,3.3018,26.9673,98.9382
3.7706,2.7538,25.643,99.4634
3.7706,3.1245,26.5471,99.5119
3.7706,3.463,27.2953,99.5557
3.7732,2.915,26.0741,99.6762
3.7609,2.8505,25.8972,98.7615
3.7706,3.3985,27.2719,99.5479
3.7642,3.1567,26.5238,99.0441
3.7609,2.7538,25.6661,98.7489
3.7625,3.2695,26.9906,98.9345
3.7771,3.3501,27.0843,100
3.7674,2.7538,25.7815,99.2283
3.7609,3.0761,26.4772,98.7911
3.7609,3.4307,27.2953,98.8373
3.7706,2.8827,25.9666,99.4803
3.7642,2.8021,25.8972,98.9988
3.7674,3.4146,27.2015,99.3138
3.7602,2.8827,24.95,98.7095
3.7706,3.334,26.0804,99.5348
3.7667,3.4791,26.3445,99.2661
3.7706,2.8666,24.9135,99.4736
3.7642,3.0923,25.4278,99.0315
3.765,3.5274,26.4579,99.1471
3.7625,3.0761,25.5175,98.9047
3.7732,2.8827,24.9723,99.6673
3.7665,3.4307,26.2459,99.2451
3.7706,3.2373,25.6073,99.5211
3.7658,2.9633,25.4278,99.1339
3.769,3.2373,25.8999,99.4046
3.7609,3.4952,26.3291,98.8406
3.7642,2.9472,25.0921,99.0126
3.7658,3.0117,25.2262,99.1388
3.7609,3.4952,26.3518,98.8407
3.765,3.2051,25.7796,99.1055
3.7732,2.8666,24.9723,99.6654
3.7674,3.3824,26.1256,99.3051
3.7674,3.3985,26.1707,99.3072
3.7642,2.8989,24.9804,99.0063
3.7674,3.1567,25.5624,99.2755
3.7658,3.463,26.3065,99.1977
3.769,3.0278,25.3382,99.3769
3.7642,2.9311,25.0697,99.0105
3.7681,3.4791,26.2912,99.369
3.7618,3.2534,25.96,98.8763
3.7625,2.8666,24.8466,98.8766
3.7642,3.2857,25.8999,99.0567
3.7699,3.4307,26.2539,99.4956
3.7674,2.8989,25.0251,99.2422
3.7642,3.06,25.383,99.0274
3.7674,3.4468,26.3065,99.3136
3.7674,3.1245,25.54,99.2716
3.7674,2.8666,24.8689,99.2377
3.7577,3.4307,26.2839,98.597
3.7642,3.334,26.0578,99.0632
3.7674,2.8344,24.8689,99.2338
3.7625,3.189,25.7197,98.9191
3.7642,3.4307,26.2839,99.0758
3.7674,2.9633,25.2486,99.251
3.7642,3.0278,25.3382,99.0233
3.7625,3.463,26.3065,98.9545
3.7625,3.0923,25.5175,98.9066
3.7577,2.8989,25.0921,98.5279
3.7642,3.3501,26.103,99.0654
3.7723,3.3501,26.1481,99.6623
3.7625,2.8505,24.9358,98.8751
3.7609,3.1406,25.54,98.7946
3.7674,3.2857,25.9675,99.2928
3.7674,3.1406,25.6073,99.2738
3.7674,3.1567,25.6298,99.2758
3.7706,3.2695,25.945,99.5265
3.7674,3.2373,25.8548,99.2865
3.7642,2.8666,24.8466,99.0018
3.7609,3.2857,25.8773,98.8135
3.7634,3.3985,26.2539,99.0129
3.7625,2.8505,24.8689,98.8748
3.7602,3.0278,25.3975,98.7289
3.7739,3.4307,26.3065,99.7905
3.769,3.0439,25.4278,99.3793
3.7593,2.8344,24.8689,98.6371
3.7593,3.4307,26.3065,98.7149
3.765,3.2534,25.9149,99.1119
3.7706,2.8183,24.8912,99.4677
3.7674,3.189,25.7197,99.2801
3.7642,3.4146,26.2386,99.0737
3.7634,2.8989,25.0393,98.9476
3.7674,2.9472,25.1591,99.2486
3.769,3.463,26.3291,99.4335
3.769,3.1567,25.5624,99.3934
3.7723,2.8021,24.8021,99.5906
3.7625,3.3179,26.0804,98.9362
3.7674,3.3663,26.1707,99.3033
3.7625,2.8021,24.8466,98.8689
3.769,3.0923,25.5175,99.3855
3.7625,3.4146,26.3065,98.9488
3.7674,2.9472,25.2038,99.2488
3.7649,2.915,25.1001,99.0603
3.7618,3.4468,26.3445,98.9012
3.7593,3.2051,25.8098,98.6857
3.7593,2.8021,24.8689,98.6332
3.7658,3.2534,25.8773,99.1706
3.7625,3.3663,26.2612,98.9428
3.7683,2.8344,24.95,99.3005
3.7642,3.0117,25.3382,99.0214
3.7732,3.463,26.3898,99.7432
3.7625,3.0439,25.4278,98.9004
3.7308,3.6886,26.7903,96.6484
3.7373,3.4468,26.2912,97.0961
3.739,3.0439,25.346,97.1688
3.739,3.4791,26.4497,97.2259
3.7341,3.608,26.6994,96.8814
3.7414,3.0278,25.4726,97.3443
3.7414,3.2534,25.9224,97.3733
3.7431,3.7208,26.9885,97.5593
3.7341,3.189,25.7949,96.8272
3.7373,3.0278,25.346,97.0416
3.7366,3.6886,26.9656,97.0765
3.739,3.4952,26.4724,97.2279
3.739,2.9633,25.2565,97.1588
3.7341,3.3985,26.2233,96.8542
3.7406,3.6886,26.9042,97.3709
3.7341,3.0923,25.4356,96.814
3.7414,3.1245,25.6523,97.3566
3.7308,3.6725,26.8814,96.6469
3.7333,3.3018,26.1481,96.7834
3.739,2.9472,25.2789,97.1569
3.7325,3.5435,26.6766,96.7557
3.7333,3.5758,26.6923,96.8186
3.735,2.9472,25.271,96.8622
3.7317,3.2373,26.0352,96.6573
3.7406,3.6725,26.9042,97.3689
3.7398,3.1245,25.6523,97.2388
3.7431,3.0117,25.4278,97.4674
3.7366,3.6564,26.8744,97.0722
3.7292,3.3985,26.3138,96.4936
3.7325,2.9472,25.2118,96.6778
3.739,3.4468,26.2686,97.2212
3.7431,3.608,26.7833,97.5449
3.7414,2.9794,25.383,97.3381
3.7406,3.1728,25.7049,97.3037
3.7406,3.6402,26.7676,97.3645
3.739,3.2212,25.8624,97.1924
3.7414,2.9633,25.3157,97.3358
3.739,3.5435,26.6766,97.2346
3.739,3.4952,26.4497,97.2278
3.7341,3.06,25.8399,96.812
3.7366,3.2695,26.0352,97.0221
3.7508,3.5919,26.7605,98.1101
3.7357,3.0439,25.5029,96.9264
3.7447,3.1084,25.5849,97.5975
3.7341,3.6402,26.7448,96.8855
3.7341,3.334,26.0201,96.8456
3.7333,2.9794,25.2486,96.7407
3.7471,3.4791,26.4497,97.8226
3.7422,3.4952,26.5404,97.464
3.7406,2.9472,25.2341,97.2746
3.7406,3.2373,25.8399,97.3121
3.7447,3.5758,26.6013,97.6581
3.7438,3.1567,25.7499,97.5377
3.7557,3.0278,25.4132,98.3975
3.735,3.5758,26.715,96.944
3.7341,3.3824,26.2686,96.8525
3.7366,2.915,25.1815,96.9758
3.739,3.3663,26.2686,97.2116
3.7341,3.5758,26.6312,96.8773
3.7341,2.9311,25.2565,96.7939
3.7366,3.1245,25.6972,97.0032
3.7357,3.5919,26.7676,96.9977
3.7454,3.2212,25.9525,97.6642
3.7341,2.9633,25.2118,96.7976
3.7308,3.5113,26.5858,96.6262
3.7406,3.4307,26.4724,97.3381
3.7316,2.8989,25.1081,96.6052
3.739,3.2857,25.93,97.2004
3.7406,3.5597,26.7221,97.3546
3.7357,3.06,25.5253,96.9284
3.7422,3.0439,25.5702,97.4056
3.7431,3.5919,26.7605,97.5428
3.7566,3.3018,26.0804,98.4996
3.7447,2.8989,25.1144,97.5703
3.739,3.4791,26.6539,97.2268
3.7341,3.5113,26.6085,96.8695
3.7406,2.8344,24.9439,97.2598
3.7472,3.3501,26.7307,97.8158
3.7537,3.3501,26.6852,98.2944
3.7463,3.5435,27.1713,97.7746
3.7504,3.4468,26.9587,98.0641
3.7496,3.2857,26.4651,97.9837
3.7602,3.463,27.073,98.7886
3.7528,3.5274,27.1027,98.2513
3.7544,3.2534,26.5105,98.3337
3.7528,3.3985,26.7833,98.2344
3.7463,3.5597,27.1255,97.7764
3.7431,3.334,26.6923,97.5117
3.7479,3.2857,26.5786,97.859
3.7366,3.5113,27.0113,97.0555
3.7472,3.4307,26.9815,97.8266
3.7414,3.2695,26.4651,97.3777
3.7414,3.3985,26.8516,97.3948
3.7496,3.4791,27.057,98.0095
3.7577,3.3018,26.6013,98.583
3.7544,3.2857,26.6241,98.338
3.7414,3.4952,27.057,97.4074
3.7422,3.3501,26.6994,97.4473
